Modell,Label,n_periods,MAE_Diff_mean,MAE_Diff_std,RMSE_Diff_mean,RMSE_Diff_std,R2_Diff_mean,R2_Diff_std,MAE_Volumen_mean,MAE_Volumen_std,RMSE_Volumen_mean,RMSE_Volumen_std,R2_Volumen_mean,R2_Volumen_std,Score_primary_MAEVol,Score_robust_MAEVol_plus_0.5std
linreg,alle,4,0.210550,0.171816,0.247123,0.181409,-0.548926,1.725889,9.043075,12.593037,10.090909,13.983436,0.305203,1.881326,9.043075,15.339594
linreg,nur_zinsen,4,0.244745,0.218742,0.287913,0.220736,-1.157576,2.278454,11.803644,13.873823,12.920637,14.968946,-0.341231,2.176178,11.803644,18.740556
linreg,nur_maerkte,4,0.248386,0.198425,0.304565,0.227007,-1.237001,2.120232,12.735403,13.074652,14.877936,14.078445,-0.137411,1.916230,12.735403,19.272729
linreg,nur_makro,4,0.234479,0.185404,0.261221,0.204299,-0.791591,1.635452,9.520760,12.148126,10.833338,13.749808,0.020309,1.570518,9.520760,15.594823
linreg,zinsen_makro,4,0.228315,0.184992,0.258000,0.194738,-0.677280,1.589607,9.418845,11.518168,10.575513,13.030595,-0.074372,1.711503,9.418845,15.177929
linreg,ohne_dax,4,0.227053,0.170695,0.272279,0.201083,-0.759484,1.493740,9.610014,12.007418,11.052252,13.585909,0.107375,1.638427,9.610014,15.613723
linreg,ohne_inflation,4,0.219870,0.179422,0.267878,0.206672,-0.854559,1.719254,10.989284,11.777935,12.216389,13.324928,-0.184585,1.620300,10.989284,16.878252
linreg,nur_estr,4,0.252127,0.216714,0.290072,0.230220,-1.158719,2.292857,10.817113,14.053616,12.683589,15.692699,-0.593339,2.383908,10.817113,17.843921
linreg,nur_einlagezins,4,0.250380,0.213383,0.294457,0.229813,-1.189921,2.307017,11.544458,14.101926,13.019369,15.734850,-0.948853,2.525989,11.544458,18.595421
xgboost,alle,4,0.249773,0.180712,0.301214,0.183243,-1.864379,1.436920,11.460653,13.589588,13.376246,14.670261,-0.426651,1.835853,11.460653,18.255447
xgboost,nur_zinsen,4,0.334427,0.185359,0.383625,0.185794,-3.395646,1.450430,16.037037,14.523640,18.496898,15.150410,-1.566918,2.369318,16.037037,23.298857
xgboost,nur_maerkte,4,0.265513,0.166780,0.325342,0.192613,-2.818561,2.174468,11.459097,14.173562,12.966867,14.586966,-0.358181,1.825592,11.459097,18.545878
xgboost,nur_makro,4,0.302105,0.186513,0.353220,0.189921,-2.998389,1.880793,13.366912,13.294916,16.148146,16.775978,-1.103873,2.307529,13.366912,20.014370
xgboost,zinsen_makro,4,0.298811,0.179015,0.356332,0.181707,-2.839084,1.720339,14.863347,14.272450,17.092029,15.953398,-1.319749,2.351232,14.863347,22.0
xgboost,ohne_dax,4,0.295124,0.187204,0.343766,0.192157,-2.780255,1.681908,13.808558,14.275888,16.060636,16.132492,-1.362132,2.328340,13.808558,20.946502
xgboost,ohne_inflation,4,0.290647,0.165971,0.340447,0.179783,-2.557073,1.876279,14.710427,12.719619,17.027762,14.295706,-1.099625,1.923479,14.710427,21.070237
xgboost,nur_estr,4,0.392733,0.218711,0.443111,0.224045,-4.670109,2.011142,19.985425,13.717594,23.804772,16.394131,-2.801701,4.520033,19.985425,26.844222
xgboost,nur_einlagezins,4,0.359217,0.208970,0.411972,0.206322,-3.423250,1.987887,16.543953,14.621342,19.483426,16.905477,-3.218042,4.060766,16.543953,23.854624
ffn,alle,4,0.345858,0.326112,0.396455,0.387983,-4.852629,5.511361,10.734214,16.512422,13.069218,20.997739,-0.655753,3.299730,10.734214,18.990425
ffn,nur_zinsen,4,0.452772,0.459780,0.471695,0.435811,-5.000951,7.858482,19.768697,22.473287,23.049810,28.401389,-4.098707,6.218916,19.768697,31.005341
ffn,nur_maerkte,4,0.373304,0.111794,0.488556,0.120284,-7.403749,7.246565,12.840999,8.377865,14.426095,8.714955,-0.907702,1.537330,12.840999,17.029932
ffn,nur_makro,4,0.325155,0.237572,0.363272,0.302785,-3.640570,3.656491,14.480137,15.701359,17.375377,17.976615,-1.349917,2.823520,14.480137,22.330816
ffn,zinsen_makro,4,0.312376,0.240712,0.382319,0.240622,-2.890111,2.567755,14.479497,14.309638,15.958791,16.217763,-0.539564,2.396160,14.479497,21.634316
ffn,ohne_dax,4,0.352421,0.274128,0.402564,0.345133,-2.552902,4.100754,11.999978,12.493296,14.585773,16.374602,-0.908347,2.251077,11.999978,18.246626
ffn,ohne_inflation,4,0.404967,0.353611,0.473284,0.392214,-4.060088,4.961494,14.015152,17.814231,19.039460,21.157541,-1.568272,3.451738,14.015152,22.922268
