Modell,Rank_in_Model,Label,MAE_Volumen_mean,MAE_Volumen_std,RMSE_Volumen_mean,R2_Volumen_mean,Robust_Score
linreg,1,alle,9.043075,12.593037,10.090909,0.305203,15.339594
linreg,2,zinsen_makro,9.418845,11.518168,10.575513,-0.074372,15.177929
linreg,3,nur_makro,9.520760,12.148126,10.833338,0.020309,15.594823
linreg,4,ohne_dax,9.610014,12.007418,11.052252,0.107375,15.613723
linreg,5,ohne_inflation,10.989284,11.777935,12.216389,-0.184585,16.878252
xgboost,1,nur_maerkte,11.459097,14.173562,12.966867,-0.358181,18.545878
xgboost,2,alle,11.460653,13.589588,13.376246,-0.426651,18.255447
xgboost,3,nur_makro,13.366912,13.294916,16.148146,-1.103873,20.014370
xgboost,4,ohne_dax,13.808558,14.275888,16.060636,-1.362132,20.946502
xgboost,5,ohne_inflation,14.710427,12.719619,17.027762,-1.099625,21.070237
ffn,1,alle,10.734214,16.512422,13.069218,-0.655753,18.990425
ffn,2,ohne_dax,11.999978,12.493296,14.585773,-0.908347,18.246626
ffn,3,nur_maerkte,12.840999,8.377865,14.426095,-0.907702,17.029932
ffn,4,ohne_inflation,14.015152,17.814231,19.039460,-1.568272,22.922268
ffn,5,zinsen_makro,14.479497,14.309638,15.958791,-0.539564,21.634316
tft,1,nur_makro,11.792612,10.466302,13.488019,-0.436056,17.025763
tft,2,nur_einlagezins,11.838513,11.793038,13.642829,-1.017781,17.735032
tft,3,zinsen_makro,11.993027,13.145041,13.627869,-0.565922,18.565548
tft,4,ohne_dax,12.315363,12.541876,15.023948,-0.598073,18.586301
tft,5,alle,12.629063,11.474129,14.986167,-0.712946,18.366127
naive_rw,1,naive,11.781129,12.374302,14.408148,-0.563528,17.968280
naive_hold,1,naive,17.379712,10.090838,21.033250,-2.246182,22.425131
